,Neighborhood,NeighborhoodLatitude,NeighborhoodLongitude,Venue_Count,Venue,VenueLatitude,VenueLongitude,VenueCategory
638,Katuwawala South,6.825390641940905,79.91511518229733,2,Nelum Koley,6.824069,79.9142,Sri Lankan Restaurant
639,Katuwawala South,6.825390641940905,79.91511518229733,2,Susiko Bakers,6.826311275431479,79.9125121115471,Bakery
640,Mampe East,6.8047562365096,79.93408594131755,2,Red Balloon,6.801969646577296,79.93137233638802,Chinese Restaurant
641,Mampe East,6.8047562365096,79.93408594131755,2,Moksha,6.801676,79.934641,Indian Restaurant
642,Wewala East,6.803779136726366,79.9115092170481,3,Akanitha,6.802896354028309,79.91183922758341,Asian Restaurant
643,Wewala East,6.803779136726366,79.9115092170481,3,Ruwan Bakery,6.803409398355692,79.91580758335172,Bakery
644,Wewala East,6.803779136726366,79.9115092170481,3,Little Lion,6.802722566986874,79.91586770857337,Bakery
645,Mavittara North,6.806266689037986,79.93839830399256,6,Pizza Hut,6.802186408102354,79.93787196710628,Pizza Place
646,Mavittara North,6.806266689037986,79.93839830399256,6,Lantaruma,6.809469,79.937792,Sri Lankan Restaurant
647,Mavittara North,6.806266689037986,79.93839830399256,6,Golden Family Restaurant,6.809524249171479,79.93900192487128,Chinese Restaurant
648,Mavittara North,6.806266689037986,79.93839830399256,6,Max Foods,6.809529781341553,79.93734741210938,Food Truck
649,Mavittara North,6.806266689037986,79.93839830399256,6,Perera & Sons,6.8021849208468765,79.93787510634206,Bakery
650,Mavittara North,6.806266689037986,79.93839830399256,6,Red Lantern,6.8019278725937555,79.93811120946575,Chinese Restaurant
651,Makuludoowa,6.813433131945538,79.93383786322524,1,Neluma Food Center,6.816115,79.936251,Asian Restaurant
652,Divulpitiya East,6.8530525041902255,79.89580522579737,5,Sue Cakes,6.851403858039311,79.89480972290039,Bakery
653,Divulpitiya East,6.8530525041902255,79.89580522579737,5,Pizza Napolitana,6.850423,79.8956,Pizza Place
654,Divulpitiya East,6.8530525041902255,79.89580522579737,5,Dakuna Perata,6.850261837798113,79.89579999468008,Asian Restaurant
655,Divulpitiya East,6.8530525041902255,79.89580522579737,5,Kesel Kole,6.849885257924022,79.89692622595047,Asian Restaurant
656,Divulpitiya East,6.8530525041902255,79.89580522579737,5,the vegan,6.848901,79.896461,Vegetarian / Vegan Restaurant
657,Habarakada South,6.868101297925303,80.01424109262155,2,Hotel Selsan,6.8655686378479,80.01310729980469,Restaurant
658,Habarakada South,6.868101297925303,80.01424109262155,2,Dragon Heart Food Cabin,6.865338073886273,80.01194415257277,Restaurant
659,Rathmalana East,6.813831361538326,79.87382767312849,3,Quality Foods,6.8166985511779785,79.87631225585938,Food Court
660,Rathmalana East,6.813831361538326,79.87382767312849,3,Bismee Chicken Shop,6.815512189553298,79.87728071545446,Bagel Shop
661,Rathmalana East,6.813831361538326,79.87382767312849,3,Kaala Balan (කාලා බලං),6.8151608,79.87791,Southern / Soul Food Restaurant
